ulasan,rating,tanggal
"tagline bye-bye ribet,sat set, aktualnya mrebet,,,ora mutu blas,gatel",1,2025-06-27 18:26:57
"aplikasi lemot, sering eror, aplikasi sampah cuih",1,2025-06-27 18:24:21
mantap kali Telkomsel gg lah,5,2025-06-27 18:22:13
"App ini lama parah, ga bisa diajak buru2 samsek.. illfeel tiap mau cek/beli kuota. sangat disayangkan. padahal sinyalnya bisa diajak ngebut. ditunggu perbaikannya, saya siap ganti ulasan kl sdh oke app nya.",1,2025-06-27 18:19:04
aplikasinya di buka lancar cm jaringan internet sering hilang 4g jadi E nti pke modem muncul LG yaudahlah pke modem aja capek kena prank Telkomsel. di rumah pke Indihome di pke pas klwr rmh aj. jadi MLS beli paket ntar diisi sinyal ngambek LG..,5,2025-06-27 18:18:07
mantap,5,2025-06-27 18:17:14
mempermudah untuk pengisian ulang kuota internet,5,2025-06-27 18:05:37
selalu terbaik👍👍🫰🫰🫰,5,2025-06-27 18:00:18
paket internet mahal sering sekali sinyal jelek,1,2025-06-27 17:59:37
oke banget........ sangat puas.... rekomendasi lah buat yg belum menggunakan....,5,2025-06-27 17:58:36
"aplikasi lemot, tidak bisa menampilkan informasi kuota dan pulsa secara realtime dan stuck di loading icon",2,2025-06-27 17:49:26
app susah masuknya terus cek kuota kaga bisa. tolong laah perbaiki aplikasinya biarpun paketnya agak mahal setidaknya perbaiki aplikasinya,1,2025-06-27 17:47:28
"isi data 3.8 GB, waktu di cek 2.5 GB telkomsel makan lama makin burik",1,2025-06-27 17:47:12
"Uda jaringan lag. Termahal Sedunia, gk bisa juga buat main game.",1,2025-06-27 17:46:25
"aplikasi gak jelas,pas sebelum di isi pulsa paket murah,sesudah di isi pulsa hilang paket murah nya, padahal jarak isi pulsa sama pantau aplikasi nya cuma 1 menit",1,2025-06-27 17:39:34
bagus,5,2025-06-27 17:35:19
mantap,5,2025-06-27 17:26:59
Segala cara dilakukan masih ada ngebug gk bisa dbuka masa harus reinstall trs klo mau buka app nya capek dunk,1,2025-06-27 17:23:25
"aplikasi gilaa, mau beli kuota aja gabisa di buka, loading 1 abad Harga mahal tpi kecepatan kayak siputttttt",1,2025-06-27 17:20:56
good,5,2025-06-27 17:20:21
"tolong dibenerin server nyaa, masa harus uninstall bolak balik kalo mau cek kouta. tolongg ya dibenerin makasi",1,2025-06-27 17:18:54
sinyal bagus tapi suka leg hadehhh ga bener emg,1,2025-06-27 17:16:12
"lemot,jumlah kouta beru ubah tadi murah tiba² mahal",1,2025-06-27 17:09:44
sangat cocok dan luar biasa... mantaap,5,2025-06-27 17:04:54
udh lama makai kartu ini paket ny bkn tambah murah malah tambah mahal,2,2025-06-27 17:04:20
sangat memuaskan,5,2025-06-27 17:03:32
"kepada my telkomsel, saya beli paket kuota yang ada ekstra youtube tapi setiap buka youtube yang berkurang kouta internetnya bukan di kuota ekstra youtube, mengapa bisa?",1,2025-06-27 17:00:27
aplikasi LAG truss,2,2025-06-27 16:58:11
"Perkembangan aplikasi ini sangat baik. Fiturnya semakin banyak dan membantu. Promo dan paket yang ditawarkan juga menarik dan menguntungkan. Pilihan untuk pembayaran juga banyak. Aplikasi ini memang sangat membantu bagi pengguna layanan Telkomsel. Soal kuat-lemahnya sinyal, gak bisa komen banyak karena ada banyak faktor yang mempengaruhi itu. Terima kasih untuk kerja kerasnya, semoga kedepannya semakin baik dalam perkembangan aplikasi dan layanan. Sukses selalu.",5,2025-06-27 16:57:01
"Perfect,.good product👍👍👍",5,2025-06-27 16:53:29
"GK bisa bayar pake gopay, meskipun udh terhubung. nomor udh bener, pas verifikasi GK bisa. jelek",1,2025-06-27 16:47:17
"sudah lebih baik dari sebelumnya, namun sayang paket internet Giganet saya di hapus devloper, tolong di hadirkan kembali paket data yg saya biasa beli. terima kasih. mohon di respon",3,2025-06-27 16:46:50
paket andalan aku harganya naik..,2,2025-06-27 16:46:33
gak jls lh. apk apaan hrus banget sinyal 100% baru kebuka..,2,2025-06-27 16:42:50
sangat puas,5,2025-06-27 16:36:12
kenapa apliasi ini selalu eror padahal sinyal bagus mau beli paket liat sisa kuota dan lainnya pada gak bisa di buka,1,2025-06-27 16:35:11
"ribet bgt skr msuk hrus regis, di regis halaman tdk diremukan. gimama sih",1,2025-06-27 16:35:04
Aplikasi lemot,3,2025-06-27 16:33:55
semua harga paket mahal,1,2025-06-27 16:28:42
kasih lebih banyak diskon nya,5,2025-06-27 16:28:17
"sinyal jumping, kaga bener bener",1,2025-06-27 16:25:43
ok,5,2025-06-27 16:19:38
sangat bagus,5,2025-06-27 16:18:12
Percuma banyak poin klo gk bisa ditukar. Bisa ditukar pun harus tambah pulsa toddd!!!!!,5,2025-06-27 16:16:55
"kenapa y aplikasi mytelkomsel akhir2 ini sangat berat, cek kuota, pulsa dn beli paket kok lemot banget terkadang stuk lgsung keluar dn suka hang, beda dengan operator lain kenceng cek kuota, pulsa dn beli paket tidak lemot kayak telkomsel perusahaan besar tapi pelayanan buruk..",1,2025-06-27 16:15:47
"lama kelamaan ini aplikasi semakin aneh ,karena saat mau cek sisa pulsa maupun kuota selalu stuck",1,2025-06-27 16:15:31
buat apa coba point nya nggak bisa di ubah jadi data atau pulsa,1,2025-06-27 16:12:44
baik,5,2025-06-27 16:10:17
"Telkomsel ini kenapa semakin ngelek, pada saat diawal game sangat lancar, di tengah tengh dan mau late game sinyalnya jumping ,apa ga kesel saya, tolong secepatnya diperbaiki saya pelanggan setia.",5,2025-06-27 16:10:02
"parah oyy udh beberapa bulan aplikasi my Telkomsel super lemot, cek kuota sama isi kuota ga bisa teruss parahhhhhhh...",1,2025-06-27 16:08:56
murah banyak hadiah dan kejutannya,5,2025-06-27 16:05:57
makin di update makin gajelas ni aplikasi,1,2025-06-27 16:05:08
"jaringan buruk sekali, sinyal gak stabil",1,2025-06-27 16:05:04
aplikasi ngelag... stuck di beranda. payah,1,2025-06-27 16:03:31
"sampah bgt sih aplikasi ini lama"" mau ngecek kuota aja lama bgt loading nya, yg lain makin lama makin bagus, ini makin ga jelas",1,2025-06-27 16:01:06
"kinerja aplikasi sangat buruk, jaringan bagus, waktu buka aplikasi malah lag dan cuma my Telkomsel yang lag",1,2025-06-27 16:00:31
aplikasi tidak stabil,1,2025-06-27 15:58:33
"aplikasi yang berat, sudah berkali kali uninstall aplikasi tetapi sulit merefresh tampilsn, seharusnya tampilan dibuat sesimpel mungkin untuk perangkat super low end",1,2025-06-27 15:57:34
"ini aplikasi bikin kesel saja, masa di buka eror terus",1,2025-06-27 15:53:18
My Telkomsel daily cek in ku di perbaiki ya makasih 😚,5,2025-06-27 15:50:11
ada kuota gratis 1 bulan sekali,5,2025-06-27 15:47:52
telkomsel sangat amat jelek..baik dr signal bahkan sampai pelayanan pengaduan yang sangaaaaat lambat respon..dah tarif paling mahal pula,1,2025-06-27 15:44:46
ok lah,4,2025-06-27 15:41:47
jaringan bagus,5,2025-06-27 15:40:31
jangan pakai telkomsel makin kesini makin jelek jaringan nyesel gua pakek telkomsel jaringan jelek paketan mahal,1,2025-06-27 15:36:45
sngt bgus,5,2025-06-27 15:35:31
lelet bgt pdhl sinyal udh bgus ini,1,2025-06-27 15:35:18
"sering eror gini, dr mulai bisa login tapi ga nampilin apapun, smpe jdi gbs login. stuck d logo, (sudah mentok updateny) smpe udh download ulang tetep gabisa. udah 3 device masalah nya sama semua. tolong di perbaiki, krna ini tidak sekali–duakali terjadi",2,2025-06-27 15:34:00
"tiap buka aplikasi loadingnya lama, padahal buka aplikasi lainnya lancar .. berrtibukan masalah koneksi",1,2025-06-27 15:33:37
"harga ga menentu , terlalu mahal kalo bukan karna kartu dan no ini sudah melekat dengan saya sudah pasti dari dulu saya tinggalkan .",1,2025-06-27 15:32:37
"aplikasi sering eror ngeleg, padahal jaringan bagus jadi ribet buat cek kuota/pulsa",1,2025-06-27 15:31:31
"loadingnya lama banget, buat menampilkan detail kuota juga lama",1,2025-06-27 15:30:23
KALAU MAU BELI KUOTA HARUS DILIAT LAGI DESKRIPSINYA YANG TELITI SOALNYA BANYAK SCAM. DESKRIPSINYA PADA GA JELAS!!!,1,2025-06-27 15:29:56
nice,5,2025-06-27 15:29:31
"Telkomsel kalau untuk di kota bagus jaringannya, tapi kurang kalau untuk pelosok desa,,, kedepannya Telkomsel bisa lebih baik",4,2025-06-27 15:28:02
"aplikasi bobrok, buat masuk aja susah, jaringan bagus ttp g bisa msuk, mending perbaiki dulu kualitas aplikasi,ketimbang banyakin event² ga jelas, yg belom tentu juga dapet hadiah dari event itu, dari dulu masalah kek gini ga pernah ada perbaikan",1,2025-06-27 15:25:19
bagus,5,2025-06-27 15:22:48
jelek banget sinyalnya kuota paling mahall,1,2025-06-27 15:22:27
sangat simpel,5,2025-06-27 15:20:45
"tidak bisa beli internet sama sekali,tertulis masalah sistem,duid saya 60rb lenyap bagussss",1,2025-06-27 15:20:34
"paket mahal,jaringan lag,harga tak sesuai kualitas,ngga ada inisiatif buat benerin kah?",1,2025-06-27 15:20:11
"aplikasi sangat buruk,mau beli paket aja disuruh cek jaringan padahal jaringannya bagus",1,2025-06-27 15:15:50
paket tambah mahal,2,2025-06-27 15:13:47
"aplikasi rusak, uda 3 hari cek detail stamp dll masih saja ga bisa dibuka",1,2025-06-27 15:10:05
"makin lama aplikasi Telkomsel, makin buruk aplikasinya, masa kalah sama yang aplikasi kuning, tampilan menu gak ada gambar, banyak bug nya, terus kouta mahal"" lg",2,2025-06-27 15:07:26
Telkomsel jaringan terburuk!!,1,2025-06-27 15:06:20
tidak menampilkan kuota yang sesungguhnya dan aplikasi hanya loading,1,2025-06-27 15:04:16
semoga bisa turun lagi karna telkomsem untuk masyarakat,5,2025-06-27 15:01:37
BUTUT,1,2025-06-27 15:00:27
jaringan nya hilang trus,1,2025-06-27 15:00:20
"telkomsel sinyalnya jelek skrg, andai ni nomor bukan nomor utama sumpah udh ganti saya. kesel banget sama telkomsel jaman skrg",1,2025-06-27 14:59:51
semoga paket paket nya banyak promo yg murah murah,4,2025-06-27 14:58:31
"sinyal busuk maaf ya, trs app lu kebanyakan pop up ga penting malah annoying. mau diperbaiki ga ya",1,2025-06-27 14:57:53
terima,5,2025-06-27 14:57:50
setiap mau cek kuota harus hapus apk lalu donwload lagi biar bisa masuk normal terima kasih my tlkomsel😊,1,2025-06-27 14:57:20
Semoga selalu banyakin promo,5,2025-06-27 14:56:50
"aplikasi murahan... sering muter2 GK bisa di buka, mau lihat sisa kuota aja muter2 GK bisa, sangat tidak membantu.",2,2025-06-27 14:55:54
gua udh 8 taon pakai Telkomsel kenapa sih Bru kali ini tgl 27juni 2025 sinyal nya bangke sial sial bisa bisa pindah lgi gua ke tri,1,2025-06-27 14:55:35
"harga doang ditinggiin tapi kualitas gada sama sekali, sekelas kota bandung aja gabisa buat apa apa ni telkomsel",1,2025-06-27 14:55:15
sangat bagus,5,2025-06-27 14:53:38
"makin mahall herann ,,koropsi muluuu",1,2025-06-27 14:52:44
bagus untuk internet,5,2025-06-27 14:51:18
makin lama aplikasi my Telkom . paket nya mahal2,2,2025-06-27 14:50:43
"HARGA MAHAL GAK SEBANDING DENGAN KUALITAS SERING DC, HILANG SINYAL KAPOK",1,2025-06-27 14:49:28
"niat kagak dah ngasi layanan, bodo yah mau dikatain bodoh kek apa kek, pelayanan engga niat yah engga niat niat yah niat lah anjir, ini kartu belum satu bulan aku pake udah kluar uang lumayan buat beli paket lah barusan tadi kuota aman masi 20gb, aku cek rutin tu emang sekarang 20gb + masa aktif masi lama juli nanti, lah tiba tiba engga bisa internetan tiba tiba engga ada interetan, lama lama pindah smartfren aja dah engga niat banget anjir bodo ama masalah telkomsel, pelayanan yah pelayanan",1,2025-06-27 14:47:34
jaringan kurang bagus,4,2025-06-27 14:47:24
Malah makin mahal jinggg udah engga ngotak harga paket tan nya kecwa cokk,1,2025-06-27 14:43:12
mantap kualitas jaringan nya,5,2025-06-27 14:41:32
aplikasi bobrok lelet GK guna👎 ini rencana mau uinstal percuma GK da gunanya min,1,2025-06-27 14:40:35
bagus,5,2025-06-27 14:40:08
"kepada MyTelkomsel yang terhormat, tolong segera diperbaiki harga paketnya,terlalu mahal sekali harus sesuai kebutuhan, supaya lebih banyak lagi peminatnya. terimakasih",5,2025-06-27 14:36:58
aplikasi sering error ga bisa menampilkan data/informasi,1,2025-06-27 14:36:07
"Terlalu sering jaringan tidak stabil. Padahal amplikasi lain bisa aja kita buka...saran ya kalau misalkan beli paket harus bisa dibuka gitu..tidak cari wifi lagi, semoga ditingkatkan lagi",5,2025-06-27 14:36:02
gk ada apa apa di Telkom baik,5,2025-06-27 14:34:46
mau cek kuota aja susah amat,1,2025-06-27 14:32:43
God cuman banyak bug,3,2025-06-27 14:32:21
"JELEK BANGET GILA SINYALNYA,UDA BELI MAHAL MAHAL SINYAL GA DUKUNG BANGETTTT APA MAKSUDNYA MINIMAL BENERIN LAH SINYALNYA,PLES MAKIN KESINI MAHAL DOANG TP SINYAL MAKIN JELEK",1,2025-06-27 14:30:40
"aplikasi super super lambat...berat dalam proses loadingnya , pengembang aplikasi nya tidak bisa memberikan solusi terbaik",1,2025-06-27 14:29:09
"aplikasi tidak stabil, kualitas jaringan jelek, paket mahal",1,2025-06-27 14:29:05
sinyal jelek bngt,1,2025-06-27 14:28:35
gangguan terus aplikasinya. sangat tidak memuaskan dan bikin jengkel kalau mau beli paketan,1,2025-06-27 14:28:30
"loading lama terus aja loading, telepon CS cuma di suruh clear chace, clear data, uninstall ulang, udah ngikutin cara diatas masih aja aplikasi loading parah.",1,2025-06-27 14:28:17
"jaringan borok. hampir 20tahun dipake, makin kesini pelayanan bukan makin bagus, malah makin jelek. lol.",1,2025-06-27 14:26:56
"Telkomsel ok,,,tapi sy ga bisa buka aplikasi Telkomsel di ponsel saya ini,,mksh",5,2025-06-27 14:26:18
"jangan kebanyakan fitur woi. mau lihat kuota aja loading gak karuan sampe login ulang bolak balik. promo juga gaada, lihat kuota aja lemot gajelas",1,2025-06-27 14:24:57
"mahal betul harganya, dasar jelmaan kepiting kikir, harganya selangit paket nya sedikit",1,2025-06-27 14:24:37
"Semakin hari udah mahal lemot pula, aplikasi juga muter aja paketan padahal masih ada heran",2,2025-06-27 14:24:13
"sinyal belakangan ini sangat amat buruk, tidak seperti biasanya, bahkan saya sudah coba solusi yang ditawarkan tapi tidak ada yang membantu",1,2025-06-27 14:23:54
"aplikasi ny sering gangguan,mau beli pket d aplikasi gangguan trs😏😏 mna mhal pkt ny tp lelet jrngn ny",1,2025-06-27 14:22:15
Telkomsel Setiaku,5,2025-06-27 14:21:53
apk nya pending trus harus hapus data baru normal sangat buruk untuk apk telkomsel,1,2025-06-27 14:21:14
harga elit sinyal sulit padahal kuota mssih 30gb,3,2025-06-27 14:18:39
"makin lelet buka aplikasi nya,mau beli paket aja loding mulu😌 #telkomsel l parah",3,2025-06-27 14:16:06
"terlalu byk paket yg sebenarnya tidak diperlukan sebagian besar konsumen. layanan sms promo juga sangat mengganggu. sdh di non aktif kan, tetap aja dikirim sms promo. tolong dong, jaga privasi kami yg tidak mau dikirimi sms promo anda. sering di telp oleh operator, ditawari migrasi ke kartu halo. Hadeeeuuh.. please deh telkomsel jangan ganggu pelanggan lu..",1,2025-06-27 14:16:03
"coba di perbaiki,paket mahal banget,baru jaringan buruk",2,2025-06-27 14:15:10
"parah lah, nge leg banget setiap mau cek paket data gabisa terus kadang minta masukan ulang nomor niat bikin aplikasi gasih",1,2025-06-27 14:14:12
"jaringan jelek dan bosok. paketan dulu 80GB hrga 100k skrng jdi 120k. edyan, gak kira"" klo naikin hrga pketan. kya jaringan bgus aja. hrusnya perbaikin dulu tuh jaringannya agar kuat dan stabill jgn jringan jelek main mahalin aja hrga pketan kuota",1,2025-06-27 14:12:43
lebih banyak promo paket internet lagi,5,2025-06-27 14:12:09
2 bulan ini Telkomsel terasa menurun kualitasnya. sekarang ada alasan utk ganti provider,1,2025-06-27 14:10:10
"woi ini kok ga ad opsi buat top up dm ml via pulsa in game ni telkom gmn dah?!? makin kikir kah? udh paket mahal 3k per gb kalah ma xl 0,3k per gb fitur jg kalah hadeh beneran migrasi ni gw lama2",1,2025-06-27 14:09:46
makin lam kok makin mahal bli paketan d my Telkomsel,3,2025-06-27 14:09:37
aplikasi penting tapi sayang paling lelet diantara aplikasi lainnya. parah..,1,2025-06-27 14:07:39
sangat bagus,5,2025-06-27 14:07:28
mantap,5,2025-06-27 14:06:38
aplikasi rusak..makin kesini jaringan makin parah.. rusak rusak,1,2025-06-27 14:06:04
apknya ko lemot bgt ya buat cek kouta/pulsa saya buka apk lain lancar padahal sangat membantu kalau ingin beli kouta/pulsa...,3,2025-06-27 14:02:48
kualitas jaringan yg mantab dan banyak promo menarik dari Apk mytelkomsel terimakasih,5,2025-06-27 13:59:17
kecewa berat sinyal lemot banget padahal di ruangan yang sama gonta ganti kartu cuma telkom yang lemot udah mahal lemot pula cihh,2,2025-06-27 13:59:03
semakin jelek applikasinya susah masuk padahal sinya bagus tau tau keluar sendiri.. tolong di perbaiki,1,2025-06-27 13:58:26
"WOI MIN PAKET NYA KEMAHALAN, PLISS MURAHIN LAGII MINN",1,2025-06-27 13:57:56
buka aplikasi lola.,1,2025-06-27 13:56:08
bagus tapi kadang lemot,4,2025-06-27 13:54:49
telkomsel jaringannya parah kualitas jaringan tdk sesuai sama harganya yg mahal,1,2025-06-27 13:50:28
"Sudah paket mahal, di bandingkan im3 klu hujan jaringannya stabil beda dengan telkomsel jaringannya jelek banget",1,2025-06-27 13:50:23
perusahaan bonafit aplikasi gak mumpuni...ga bisa update kuota dll.. susah diakses... sering error...,2,2025-06-27 13:49:38
"Aplikasi cacat, gak bisa refresh untuk cek paket data atau pulsa, udah gitu pas mau beli paket muter² terus gak ada ujung nya",1,2025-06-27 13:49:12
ngelag jaringan lu,1,2025-06-27 13:49:03
mau lihat sisa kuota aja susah reloading terus.. apk gak setabil,1,2025-06-27 13:46:24
okeh,5,2025-06-27 13:45:04
gak bisa cek quota tiba tiba abis,1,2025-06-27 13:44:54
bagus,5,2025-06-27 13:43:40
apk nya berat buat dibuka padahal udah jaringan 5G juga ttp berat lambat proses buka apk nya,3,2025-06-27 13:43:27
"aplikasi berat, kuota tapil berat sekali... lama, tolong di perbaiki",3,2025-06-27 13:40:41
"Aplikasi sampahhhh T41111, bener2 ya aplikasi ini",1,2025-06-27 13:40:36
heran gua sama Telkomsel. makin lama makin mahal paketan nya. dan juga sinyal nya lambat sekali.,1,2025-06-27 13:39:46
mantappp,5,2025-06-27 13:39:44
not recommended,1,2025-06-27 13:39:42
Sangat memuaskan pelayanannya,5,2025-06-27 13:39:35
Ini kuota beli pake uang bukan ngemis kenapa setiap di pake mesti lemot bikin emosi,1,2025-06-27 13:39:30
mana promo terbiak nya kasih dongg,5,2025-06-27 13:38:43
"apk payah, lemot amat",2,2025-06-27 13:38:16
ada promo 100 ribu 100GB. pas isi pulsa mau beli paket. tiba tiba promo nya hilang. asli ini penipuan. salah negara memang kita ini. jaringan busuk kouta mahal.,1,2025-06-27 13:37:36
"sinyal 4G serasa sinyal 2G, ni niat benerin ga sihh makin hari makin parah ni sinyal",1,2025-06-27 13:36:11
"Sinyal kek Jembud, ping hijau tiba tiba merah, terus hijau lagi, merah lagi. Ga stabil, teruskan aja sampai kiamat sinyal Jembudmu itu, perasaan dulu ga gini. Kecewa berat Asuu",1,2025-06-27 13:34:16
"apaan ini tiap hari kepotong 1110 utk layanan digital (google, games dll) ini maksudnya pencurian, sedikit2x lama2x jadi bukit. bangkeee..",1,2025-06-27 13:32:38
aplikasi terlalu sering error dan kagak bisa setabil,1,2025-06-27 13:32:33
"Tidak seharusnya, aplikasi provider, lemot, parah, sok sok an banyak feature, selalu cek jaringan disekitar anda, telkomsel pun gak ada jaminan",1,2025-06-27 13:31:59
"benerin sinyal lu, bener bener ga dimana mana sinyal telkom jelek mulu, ga recomend telkom skrng sinyal nge lag",1,2025-06-27 13:31:57
sering ganguan jaringan saat melakukan transaksi padahal jaringan bargus,2,2025-06-27 13:31:33
udah setia tapi makin lama makin mahal,1,2025-06-27 13:28:28
selalu ada ganguan masalah jaringan ketia mau melakukan pembayaran padahal jaringan saya bagus bagus aja,1,2025-06-27 13:27:19
"Semakin memburuk. Apk tidak bisa diakses dengan data dibawah 500mb , stuck diberanda. Paket mahalll",2,2025-06-27 13:25:44
aplikasi errorr,1,2025-06-27 13:24:39
tingkatkan peromonya,5,2025-06-27 13:22:45
eror mulu,1,2025-06-27 13:22:42
ngeleg stres,1,2025-06-27 13:22:12
kecewa skrg Telkomsel makin mahal makin jelek sinyalnya,3,2025-06-27 13:21:39
aplikasi ini tidak bisa digunakan kerna saat login terus keluar sendiri,1,2025-06-27 13:21:35
"aplikasi error, ga bisa cek kuota & beli kuota.",1,2025-06-27 13:20:33
kecewa banget sinyal nya jelek banget buat main game lag parah tidak disarankan pake Telkomsel buat main game jelek parah sinyal nyaa lag terus udah komplen suruh di perbaiki tetap aja jelekkk kecewa berat sama Telkomsel.. 😤,1,2025-06-27 13:20:20
"sering stuck loading terus, gk bisa nampil kan apa-apa sperti gk ada koneksi internet, harus hapus data dulu. kemudian login ulang. baru normal lagi. masa harus gitu tiap waktu, aneh banget.",1,2025-06-27 13:20:13
Excellent!,5,2025-06-27 13:19:58
"paket makin lama makin mahal, aplikasi gk bergerak, stuck tanpa bisa digunakan",1,2025-06-27 13:19:31
"INGAT SEMUANYA UNTUK PENGGUNA APLIKASI INI MASALAH BUKAN DI DEVICE KALIAN TAPI PADA APLIKASI NYA YANG SANGAT BURUK,JADI MARI KITA SAMA SAMA MENGHAPUS APLIKASI INI DAN BERHENTI MENGGUNAKAN NYA AGAR TERJADI KEBANGKRUTAN BESAR PADA DEVELOPER DAN PERUSAHAAN NYA #TelkomelHancur",1,2025-06-27 13:18:37
jaringan tololll ngaleggggg😭😭😭😭,1,2025-06-27 13:17:33
"makin mahal paketnya, butuh kuota aja gausah pake wetv jadi mahal",1,2025-06-27 13:16:49
udah paketan makin sini makin dikit trus mahal trus jaringan makin gk stabil,1,2025-06-27 13:16:41
👍,5,2025-06-27 13:16:38
"provider butut jaringan jelek mahal juga,poin kgk bisa dituker ke pulsa/Kouta,mending pindah ke XL aja jauh lebih bagus☹️",1,2025-06-27 13:16:30
kendala gk bisa masuk,3,2025-06-27 13:14:35
perubahan harga yg drastis,1,2025-06-27 13:13:27
my Telkomsel sekarang kok susah amat,4,2025-06-27 13:11:45
sinyal parah Kya gni ganti aj,1,2025-06-27 13:11:39
aplikasinya loadingnya lama banget... jadi sedih,2,2025-06-27 13:10:46
promonya gacorin lagii,5,2025-06-27 13:09:29
provider paling t@i!!!,1,2025-06-27 13:07:32
Sinyal busuk,1,2025-06-27 13:06:40
"integrasi antara mytelkomsel dengan myindihome masih sering error. Apabila tidak memiliki kapabilitas untuk melakukan integrasi keduanya, lebih baik myindihome tetap berdiri sendiri.",1,2025-06-27 13:05:22
"Sering error aplikasi paok', error terus",1,2025-06-27 13:00:51
bagus dn murah,5,2025-06-27 13:00:11
terbaik,5,2025-06-27 12:58:13
aplikasi sering crash,2,2025-06-27 12:56:51
"busuuuukkkkkkkk sudah saat nya pindah ke lain, sinyalnya makin kesini makin busuuuuukkkkkkkkkk",1,2025-06-27 12:56:45
"status kuota & pulsa loading terus, pakai wifi rumah kadang bisa kadang gak, apalagi pakai paket data dia, kan aneh. diaplikasi bima pakai paket data dia bisa dibuka padahal sisa paket 0mb.",1,2025-06-27 12:56:14
aplikasinya lemooootttttt,1,2025-06-27 12:55:31
sangat keren,5,2025-06-27 12:55:23
pelayanan sangat memuaskan,5,2025-06-27 12:55:10
bagus,5,2025-06-27 12:53:05
"respon cs buruk banget, selama 4 jam saya cuman dapat jawaban yang muter² dan masalah gapernah selesai. saya sudah sangat kesal.",1,2025-06-27 12:52:33
makin update makin erorrrrr perbaikan tak kunjung usai tapi tagihan nomor 1,1,2025-06-27 12:48:28
LEMOT,1,2025-06-27 12:47:34
tolong donk Telkomsel kenapa pulsa saya main di sedot² tiba tiba. aneh banget padahal saya tidak beli beli kuota?!,1,2025-06-27 12:44:29
"Mohon diperbaiki sinyal di daerah saya, daerah Tanjung Api-api, Banyuasin, Sumatera Selatan. Semakin hari sinyal telkomsel di sini semakin buruk. Saya sudah coba mengajukan keluhan kepada call center telkomsel tapi tidak ada balasan, hanya ada balasan dari bot. Kalau seperti ini terus, saya janji akan mengganti ke provider lain.",1,2025-06-27 12:43:47
sampah,1,2025-06-27 12:43:38
"jaringan burik, tolong di benerin dong",1,2025-06-27 12:42:38
apk suka ngelag,3,2025-06-27 12:42:31
SCAMMM!!! ADA PROMO 100RB 100GB. SETELAH TOPUP PULSA LANGSUNG HILANG PROMONYA. KAN DZOLIM! GA BERKAH,2,2025-06-27 12:41:10
nice,5,2025-06-27 12:38:53
Kualitas Layanan 🙏🏻,5,2025-06-27 12:36:15
"Stuck loading mulu, sudah seminggu. Aplikasi nya bikin susah daftar Paket, LoL",1,2025-06-27 12:35:18
good,5,2025-06-27 12:34:01
"paketan mahal aplikasi stuck disitu trus mau lihat paketan aja susah bukan paketan aja lihat yang lain"" aja susah parah sekali skrng aplikasi telkomsel",1,2025-06-27 12:30:56
good,5,2025-06-27 12:27:58
Promo kuota murah kecepatan nya di kurangi jadi sering lemot buka aplikasi lama apalagi main game haduh.... koneksi terputus terus,1,2025-06-27 12:24:54
sangat murah,5,2025-06-27 12:21:50
tolonglah aplikasinya sering ga bisa buka loh saya mau cek kuota dan beli paketan jadi tdk bisa. telkomsel tmbah mahal tambah ga jelas,2,2025-06-27 12:20:25
"pulsa sering hilang baru isi 25k malah pas login apk JD 23k aneh, bukan sekali tapi keseringan tolong donk di perbaiki lagi sistemnya",1,2025-06-27 12:19:51
"Jaringannnnn Ancur Parah,Apalagi buat game Efootball nge lag parah..Kalau Gak karena pekerjaan,gak bakal pakai Telkomsel di Jayapura..Masih Mending Operator Lain buat Game Efootbal. harga Gak Ada Kualitas,,udah paket data Harga selangit,tapi kualitas jaringan ancur",1,2025-06-27 12:19:25
"Aplikasi yg punya provider jaringan, tp kok gini ya? coba tim IT nya dievaluasi.",1,2025-06-27 12:19:03
lambat paket gadak promonya makin mahal terus,1,2025-06-27 12:18:55
"jaringan lemot harga kuotanya juga mahal"" cukup bintang yg berbicara",3,2025-06-27 12:18:53
Harga kuota mahal tapi sinyal naik turun gimana min,1,2025-06-27 12:18:16
"4 jam jaringan hilang, cuaca bagus dan ga mati listrik tapi jaringan hilang? aneh banget, udah dilaporin ke CS tapi katanya lagi dioptimalisasi jaringan, eh dipikir 4 jam itu bentar ya? banyak kerugian akibat sinyal hilang! ga mikir orang lagi ada kerjaan dll!! percuma dilaporin, udah paket mahal,sinyal ilang dan lemot,pelayanan lelet dan ber tele tele, aplikasi lemot. bahkan sampe sy nulis ulasan ini sinyalnya blm ada!!!!! percuma lapor tp ga diproses!!",1,2025-06-27 12:17:31
"padahl bukan di gunung di hutan,lelet bukan main,tiba2 hilang, paket banyak mahal lagi,reset ini intu udah tetap lelet kek kura kura",1,2025-06-27 12:17:26
ne aplikasi keseringan minta update muluuuuu ...sinyal susah ngeseliiiin,1,2025-06-27 12:16:36
Indihome masih pakek kuota! Myrepublik cs sudah unlimited. auto berhenti berlangganan.,1,2025-06-27 12:14:38
Lemot banget aplikasinya,2,2025-06-27 12:14:00
aplikasi lelet,1,2025-06-27 12:13:46
mantap,1,2025-06-27 12:13:11
mantap,5,2025-06-27 12:12:15
aplikasi sangat lambat dan tidak stabil,1,2025-06-27 12:12:11
bagusss bangett,5,2025-06-27 12:10:42
aplikasi loading nya lemot .. slow response,2,2025-06-27 12:07:44
bagus,5,2025-06-27 12:06:43
